category,name,sector
Index,SP500,Global Equity Index
Index,CAC40,European Equity Index
Index,GER30,European Equity Index
Company,APPLE,Technology
Company,AMAZON,Consumer Discretionary
Company,SANOFI,Healthcare
Company,CASIC,Financial Services
Company,THALES,Defense & Aerospace
Company,LVMH,Luxury Goods
Company,ENGIE,Utilities
Company,TOTALENERGIES,Energy
Company,INTERCONT_HOTELS,Hospitality
Company,AIRBUS,Aerospace
Company,STELLANTIS,Automotive
Company,TESLA,Automotive & Technology
Commodity,OIL,Energy Commodity
Commodity,GOLD,Precious Metal
Commodity,GAS,Energy Commodity
