Timestamp,Catégorie,Nom,Symbole,Prix actuel,Prix d'ouverture,Prix de clôture précédent,Plus haut (jour),Plus bas (jour),Plus haut (52 sem),Plus bas (52 sem),Volume,Variation,Variation %
2026-01-14 16:42:51,Indices,SP 500,^GSPC,6909.94,6937.41,6963.74,6941.3,6902.67,6986.33,4835.04,737779428,-53.800293,-0.77%
2026-01-14 16:42:52,Indices,CAC40,^FCHI,8344.47,8368.99,8347.2,8396.72,8338.34,8396.72,6763.76,0,-2.7304688,-0.03%
2026-01-14 16:42:53,Indices,GER30,^GDAXI,25326.3,25429.75,25420.66,25461.36,25281.17,25507.79,18489.91,0,-94.359375,-0.37%
2026-01-14 16:42:54,Entreprises,APPLE,AAPL,259.665,259.49,261.05,261.81,258.82,288.62,169.21,8127553,-1.3849792,-0.53%
2026-01-14 16:42:55,Entreprises,AMAZON,AMZN,238.8927,241.2,242.6,241.2,237.67,258.6,161.38,11231935,-3.707306,-1.53%
2026-01-14 16:42:56,Entreprises,SANOFI,SAN.PA,82.19,80.5,80.5,82.63,80.5,110.88,76.15,601449,1.6900024,2.10%
2026-01-14 16:42:57,Entreprises,THALES,HO.PA,261.4,264.0,264.2,264.8,257.8,279.3,143.55,109364,-2.8000183,-1.06%
2026-01-14 16:42:58,Entreprises,LVMH,MC.PA,641.8,648.3,646.6,652.0,637.4,762.7,436.55,195012,-4.799988,-0.74%
2026-01-14 16:42:59,Entreprises,ENGIE,ENGI.PA,23.7,23.51,23.4,23.71,23.47,23.94,15.325,1083312,0.30000114,1.28%
2026-01-14 16:43:00,Entreprises,TOTALENERGIES,TTE.PA,57.08,56.5,56.53,57.15,56.22,60.92,47.645,1624899,0.55000305,0.97%
2026-01-14 16:43:01,Entreprises,INTERCONT HOTELS,RCO.PA,41.0,41.48,41.34,42.14,40.22,62.35,35.08,46707,-0.34000015,-0.82%
2026-01-14 16:43:02,Entreprises,AIRBUS,AIR.PA,217.8,220.0,220.2,221.3,216.05,221.3,126.4,413633,-2.399994,-1.09%
2026-01-14 16:43:04,Entreprises,STELLANTIS,STLA.PA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2026-01-14 16:43:05,Entreprises,TESLA,TSLA,438.24,442.43,447.2,443.91,437.3104,498.83,214.25,18261248,-8.94812,-2.00%
2026-01-14 16:43:06,Matières premières,OIL,CL=F,61.75,61.12,61.15,62.06,60.39,80.77,54.98,146754,0.5999985,0.98%
2026-01-14 16:43:07,Matières premières,GOLD,GC=F,4618.5,4594.3,4599.1,4650.1,4594.3,4650.1,2690.8,162491,19.399902,0.42%
2026-01-14 16:43:08,Matières premières,GAS,NG=F,3.154,3.384,3.419,3.443,3.146,5.496,2.622,78486,-0.26499987,-7.75%
